Temperament|A|Bb|B|C|C#|D|Eb|E|F|F#|G|G# (Thesse values are the cents deviation from the Equal temperament scale)
Bruder (1829)|0|0.978|-4.887|2.933|-1.955|5.866|0|-5.865|1.955|-3.422|4.399|-0.977
Diatonic (Chromatic add.)|0|11.721|3.9|15.631|-13.696|19.541|31.272|1.945|13.676|5.855|17.586|-11.741
Ganassi (1543)|0|-1.046|3.91|15.641|4.442|-1.955|-3.001|1.955|13.686|12.641|17.596|6.397
Goebel (1967)|0|-0.051|-0.117|-0.169|0.109|0.208|0.128|0.118|-0.14|0.026|0.02|-0.019
Grammateus (1518)|0|-9.775|3.91|-5.865|-3.91|-1.955|0|1.955|-7.82|-5.865|-3.91|-1.955
Just Tempered (Barbour)|0|33.237|3.91|15.641|-13.686|19.551|31.282|1.955|13.686|5.864|17.596|-11.732
Just Tempered (Schugk)|0|33.237|3.91|15.641|-13.686|19.551|31.282|1.955|13.686|5.864|17.596|29.327
Just Scale|0|-29.227|3.95|15.67|-13.7|-1.984|-9.713|1.94|13.702|-15.61|17.625|-11.712
Kelletat (1960)|0|3.91|-5.865|7.82|-1.955|3.91|1.955|-4.887|5.865|-3.91|7.82|0
Kelletat (1966)|0|3.91|-5.865|7.82|-1.955|3.91|1.955|-3.91|5.865|-3.91|7.82|0
Kellner|0|4.301|-0.782|8.211|-1.564|2.737|2.346|-2.737|6.256|-3.519|5.474|0.391
Kircher|0|-7.82|3.91|15.64|-13.685|19.55|-9.775|1.955|13.685|5.865|17.595|-11.73
Kirnberger I (1766)|0|11.73|3.91|15.64|5.865|19.55|9.775|1.955|13.685|5.865|17.595|7.82
Kirnberger II (1771)|0|0.978|-6.843|4.888|-4.887|8.798|-0.977|-8.798|2.933|-4.888|6.843|-2.932
Kirnberger II (1776)|0|1.955|-7.82|5.865|-3.91|9.775|0|-9.775|3.91|-5.865|7.82|-1.955
Kirnberger III (1779)|0|6.354|-1.467|10.264|0.489|3.421|4.399|-3.422|8.309|0.488|6.842|2.444
Lambert (1774)|0|3.631|-2.793|4.19|-2.234|1.397|1.676|-1.396|5.586|-4.189|2.793|-0.279
Lublin (1540)|0|4.135|3.91|1.09|-13.686|-1.955|2.18|1.955|6.09|5.865|3.045|-11.731
Malcolm (Alexander, 1721)|0|4.955|3.91|15.641|20.596|19.551|13.154|1.955|13.686|18.641|17.596|11.199
Marpurg I|0|11.73|3.91|15.64|5.865|19.55|9.775|1.955|13.685|5.865|17.595|7.82
